fips,slope,sand_pct,silt_pct,clay_pct,organic_matter_pct,pH_soil,awc_soil,cec_soil
21183,10.75,13.695,62.539,23.766,1.273,5.552,0.184,11.885
21185,11.26,13.417,59.007,27.576,1.777,6.019,0.183,14.85
21199,17.74,26.103,50.268,23.629,1.855,5.302,0.169,13.059
21207,11.32,21.192,55.071,23.737,1.56,5.508,0.173,11.462
21209,8.54,11.361,60.415,28.224,2.266,6.52,0.178,15.279
21211,11.07,11.767,60.949,27.284,1.856,6.177,0.185,15.157
21213,6.68,11.851,62.875,25.274,2.183,5.577,0.191,12.462
21219,8.45,15.941,60.218,23.841,1.55,5.747,0.191,11.464
21227,9.28,13.12,60.166,26.713,1.623,5.739,0.177,10.704
21229,8.84,13.783,58.776,27.441,1.896,6.271,0.182,15.404
21231,17.3,25.039,50.751,24.21,1.636,5.491,0.171,12.394
22009,1.48,18.55,47.989,33.462,1.402,6.331,0.175,23.417
22015,3.17,35.312,34.802,29.887,1.443,6.025,0.151,23.952
22017,3.25,39.073,33.872,27.015,1.376,5.999,0.152,20.996
22021,3.52,23.776,44.295,31.929,1.448,5.419,0.17,21.572
22025,6.83,18.327,47.293,34.381,1.239,5.635,0.174,23.866
22029,1.33,16.156,40.032,43.576,1.406,6.381,0.157,28.624
22035,1.27,19.87,43.434,36.696,1.234,6.374,0.161,25.058
22037,3.66,21.516,59.625,18.859,2.011,5.625,0.182,14.17
22041,1.36,14.248,58.717,27.034,1.338,5.444,0.191,21.45
22043,3.04,27.762,42.869,29.369,1.394,6.033,0.166,24.555
22065,1.19,19.602,40.971,39.427,1.281,6.506,0.15,24.689
22067,1.25,16.353,55.971,27.676,2.789,5.389,0.194,23.096
22069,4.03,38.882,32.631,28.487,1.257,5.728,0.152,26.828
22073,3.58,28.855,47.733,23.412,1.526,5.306,0.174,15.836
22077,0.8,16.512,44.434,39.054,1.412,6.852,0.173,25.033
22079,3.13,32.712,41.141,26.147,1.308,5.749,0.164,23.899
22081,3.48,30.244,42.179,27.577,1.432,6.065,0.169,21.659
22083,1.35,11.693,58.664,29.644,2.229,5.6,0.192,21.41
22097,1.87,11.656,58.435,29.909,1.443,6.003,0.187,22.038
22107,1.14,22.197,37.561,40.242,1.482,6.266,0.154,26.281
22117,3.13,48.97,37.246,13.784,2.198,5.098,0.167,11.811
22123,1.99,11.99,62.778,25.232,1.208,5.53,0.196,17.748
24001,19.01,34.599,45.301,19.719,5.474,5.158,0.134,15.866
24003,7.55,53.506,30.815,14.428,3.306,5.481,0.158,10.847
24005,9.27,36.371,45.634,17.421,2.506,5.512,0.171,11.766
24009,7.72,54.704,31.223,12.206,3.389,5.296,0.163,9.206
24011,2.07,53.662,27.982,9.222,7.272,5.632,0.162,14.122
24013,11.71,34.745,46.343,18.093,2.294,5.833,0.168,11.519
24015,6.91,35.897,46.503,16.349,2.353,5.504,0.172,10.236
24017,7.96,45.335,40.031,14.277,3.764,4.714,0.185,9.86
24019,2.43,48.38,33.187,9.616,7.589,5.633,0.162,10.452
24021,10.46,34.265,46.703,19.032,1.686,5.572,0.156,13.42
24023,12.87,32.292,48.429,19.279,4.137,5.053,0.164,12.455
24027,9.92,40.968,40.507,17.409,2.363,5.477,0.162,10.485
24029,3.56,43.015,39.946,11.609,4.649,5.316,0.167,11.849
24031,8.97,28.625,51.769,19.167,1.965,5.429,0.17,12.728
24033,9.7,50.211,33.565,15.938,2.671,4.86,0.16,10.527
24035,3.24,39.656,40.685,10.822,7.796,5.727,0.192,13.521
24037,5.85,49.006,36.515,14.191,1.423,5.364,0.152,7.466
24039,1.3,46.865,31.328,10.21,8.35,5.494,0.173,16.829
24041,1.9,39.602,40.453,11.247,6.82,5.654,0.185,12.453
24043,13.31,30.604,49.824,19.572,3.953,5.923,0.182,10.813
24045,1.15,56.963,25.777,8.628,6.992,5.524,0.142,12.899
24047,1.27,54.321,27.87,9.041,7.332,5.974,0.156,15.202
26001,9.83,71.525,16.828,11.647,11.373,5.893,0.144,24.896
26005,7.24,69.134,19.499,10.948,10.521,6.13,0.167,26.464
26007,6.36,63.048,22.992,13.961,14.2,6.208,0.166,29.761
26009,9.01,79.429,13.341,7.23,10.308,5.768,0.133,24.012
26011,5.76,67.092,18.512,14.396,8.828,6.352,0.147,20.589
26015,9.51,63.085,24.84,12.075,8.523,6.279,0.17,20.858
26017,1.93,69.032,18.675,12.293,4.537,6.677,0.131,12.388
26021,6.31,59.692,26.454,12.578,10.847,6.251,0.179,28.808
26023,3.58,63.519,24.433,12.048,9.324,6.307,0.173,23.56
26025,7.43,61.384,25.934,12.682,9.288,6.192,0.164,24.479
26027,5.91,66.722,21.319,10.016,14.396,6.156,0.185,28.308
26029,10.34,67.793,20.518,11.689,9.967,6.209,0.147,21.257
26035,4.71,69.019,18.627,12.354,14.811,5.988,0.163,32.83
26037,4.52,60.456,25.76,13.784,7.705,6.475,0.172,21.694
26041,5.53,68.625,22.147,8.937,11.482,6.003,0.158,21.847
